GeoName,StateAbbrev,HPI_med,HPI_med_annual_change,Med_house_count,grant_amount,number_of_properties,number_of_grants,protection_grant,accommodation_grant,relocation_grant,planning_grant,protection_amount,accommodation_amount,relocation_amount,planning_amount,unemployment_rate,population,fips,Schools,LawEnforcement,FireEMS,HospitalMedical,Census_Division,amenity_scale,amenity_rank,household_income,hh_income_pct_state_total,Mean_Jan_Temp,Mean_Jul_Temp,Mean_rel_humidity,pct_no_hs,pct_hs_only,pct_some_college,pct_bachelors_or_higher,white_only,black_only,asian_only,native_american_only,multiracial,hispanic,Inundated_2020,Inundated_2100,FP100_2020,FP100_2100,July_avg_temp_19,July_1901_2000_avg,X1,state_fips,Protection,Hardened_Structures_Limited,Accommodation,Retreat,Setback,State_Permitting_Authority,State_Climate_Policy,Years_since_policy_enacted,Standardized_Climate_data_expectations,Emphasized_green_protection,Climate_Policy_Mainstreaming,Years_since_first_state_climate_report,RPS,CAI,Barriers,grants_pc,grant_money_pc,pct_black,pct_hispanic,pct_white,pct_native_american,pct_asian,FP100_change_rate,July_avg_med,region
Accomack County,VA,228.755,2.0549999999999997,21218.5,376282.55,6.15,0.6,0,0.35,0.15,0.1,0,175480.55,195052,5750,5.235,33341.5,51001,14,11,20,4,5,1.16,4,47335,61.9,36.2,76.2,72,25.3,35.4,22.8,16.5,22886,9369,188,196,525,2850,3472,21692,32936,30161,80.1,76.7,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",1.7995591080185353e-5,11.285711500682332,28.10011547170943,8.547905763088043,68.641182910187,0.5878559752860549,0.5638618538458078,34.6875,78.4,East
Alameda County,CA,1114.14,8.66,594078,3515460.528,0.55,1.5,0.05,0.1,0,0.2,692805.45,356759,0,13930.95,5.995,1505762.5,6001,541,24,110,26,9,5.13,6,107589,133.8,45.6,71.3,74,14.6,18.3,25.95,41.15,799607,199315,403695,17735,89442,339889,6512,279772,73520,908701,70.5,69.1,2,6,1,0,1,1,1,1,1,11,0,1,2,15,1,3,"resources, local municipality priority differences",9.96173035256224e-7,2.3346713230008054,13.236815234806285,22.572550452013516,53.103128813474896,1.1778085853512756,26.81000489785076,10439.7625,69.8,West
Anne Arundel County,MD,665.505,2.6399999999999997,219500,344800.5,0.9,0.8,0,0.25,0.05,0.2,0,50169.75,23168.45,13574.9,4.295,535839.5,24003,183,22,40,22,5,0.71,4,100916,116.5,33.9,75.5,65,10.6,25.8,27.45,36.15,417210,85068,18701,2108,14518,32902,4210,54857,44075,141434,80.3,76.9,9,24,1,0,0,0,2,0,0,NA,0,1,3,13,1,2,"resources, and political divides, perceived risk differences",1.4929843731191897e-6,0.6434771979296039,15.875649331562903,6.140271480545947,77.86100128863214,0.3934013823169064,3.490037595212746,1216.9875,78.6,East
Aransas County,TX,258.81,5.475,15905,1294904.8,0,0.3,0.1,0.1,0,0.05,873246.7,415789.3,0,3473.95,6.255,23343,48007,7,3,9,0,7,3.71,5,53085,82.9,54.9,83.7,43,20.45,30.15,30.15,19.3,21762,327,477,225,367,5690,654,51013,14207,113577,84.1,83.6,19,48,1,0,1,0,1,1,0,NA,1,0,1,0,1,1,"politics, state industry economic influences",1.2851818532322323e-5,55.47293835411044,1.4008482200231331,24.375615816304673,93.22709163346613,0.9638863899241743,2.0434391466392494,1242.125,83.85,South
Arlington County,VA,1041.495,4.8100000000000005,111191,115123.05,0,0.5,0,0,0,0.05,0,0,0,7225.65,2.76,205966,51013,47,3,13,3,5,-2.25,2,118986,155.6,35.6,78.7,70,8.95,9.75,13.55,67.75,160911,18332,20354,1772,6230,31382,45,486,7020,29012,80,76.2,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",2.427585135410699e-6,0.5589420098462853,8.900498140469788,15.23649534389171,78.12503034481419,0.8603361719895517,9.882213569229872,274.9,78.1,East
Ascension Parish,LA,220.03500000000003,2.79,44911,789255.2,2.85,0.85,0.05,0.45,0.2,0.05,358824.5,249456,157028.05,7500,5.4799999999999995,106531,22005,39,5,17,12,7,-1.22,3,83072,162.5,53.8,82.5,80,15.9,37,26.65,20.45,80590,24017,1061,387,1154,5024,2921,237511,227658,855846,82.4,81.7,7,22,1,0,1,1,1,1,0,NA,0,0,1,0,0,1,"resources, rural vs. urban divides (politics)",7.978898161098647e-6,7.408690428138288,22.544611427659554,4.715998160159954,75.64934150622823,0.3632745398053149,0.9959542292853724,7852.35,82.05000000000001,South
Assumption Parish,LA,241.4,2.8099999999999996,10627.5,250730.85,0.85,0.6,0.05,0.3,0,0.05,17870.8,201201.65,0,2499.65,7.685,23199,22007,16,1,10,3,7,-0.22,3,51763,101.3,54.3,82.4,75,33.1,41,17.4,8.5,15859,7167,62,148,184,498,4706,43494,74867,72109,82.7,81.7,7,22,1,0,1,1,1,1,0,NA,0,0,1,0,0,1,"resources, rural vs. urban divides (politics)",2.58631837579206e-5,10.807830078882711,30.893572998836156,2.14664425190741,68.36070520281046,0.6379585326953748,0.2672528988318462,34.475,82.2,South
Atlantic County,NJ,550.815,-0.365,127716.5,1647904.4475,11.9,2.7,0.05,1,0,0.25,262836.7,1141414.02,0,15070.3275,7.89,270242.5,34001,118,30,90,8,2,-0.04,3,62678,73.1,34.8,74.3,74,17.4,33.3,25.85,23.4,197552,47540,21258,1806,6375,46241,13237,182113,271815,258066,78.5,74.1,13,34,1,0,1,1,2,0,0,NA,0,1,1,0,1,1,resources and partisanship,9.991026577980888e-6,6.097873012202004,17.5916075376745,17.110928147867195,73.1017512049363,0.6682886666604994,7.866268259063619,171.8625,76.3,Northeast
Baldwin County,AL,310.405,3.75,108674.5,1435074.9135,1.75,3.15,0.05,1.4,0.2,0.15,83060,463783.4,37900.85,5955.163500000001,5.415,181259,1003,67,19,62,19,6,1.82,4,59871,115.6,51.9,80.6,72,13.6,28.65,30.3,27.5,159710,17274,1369,1339,2572,7992,1051,55885,49889,191668,82.1,81.1,1,1,1,0,1,0,2,1,0,NA,0,1,1,0,0,1,"resources, resident perceptions conflicting with public officials",1.737844741502491e-5,7.917261562184499,9.53000954435366,4.40916037272632,88.11148687789296,0.7387219393243921,0.7552728416244159,1772.2375,81.6,South
Baltimore County,MD,545.6700000000001,2.8,336154.5,397448.7,2.1,0.65,0,0.1,0.15,0.1,0,89244.7,267674.55,4856.65,5.18,804232,24005,312,26,62,33,5,-0.37,3,76972,88.8,36.1,79.4,65,12.1,26.7,26.3,35,531245,212415,41011,3202,17118,33735,0,0,0,0,78.3,74.9,9,24,1,0,0,0,2,0,0,NA,0,1,3,13,1,2,"resources, and political divides, perceived risk differences",8.082244924350188e-7,0.49419657511762777,26.41215470162839,4.194685115737747,66.05618776671407,0.3981438191964508,5.099399178346546,0,76.6,East
