,State,state_fips,Protection,Hardened_Structures_Limited,Accommodation,Retreat,Setback,State_Permitting_Authority,State_Climate_Policy,Years_since_policy_enacted,Standardized_Climate_data_expectations,Emphasized_green_protection,Climate_Policy_Mainstreaming,Years_since_first_state_climate_report,RPS,CAI,Barriers 
1,AL,1,1,0,1,0,2,1,0,NA,0,1,1,0,0,1,"resources, resident perceptions conflicting with public officials"
2,CA,6,1,0,1,1,1,1,1,11,0,1,2,15,1,3,"resources, local municipality priority differences"
3,CT,9,1,0,1,0,1,1,1,9,0,0,1,11,1,2,"resources, economic development differences, local control favored"
4,DE,10,1,0,1,0,2,0,0,NA,0,1,1,0,1,1,"local political support, public perceptions, lack of trust in public institutions"
5,FL,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored"
6,GA,13,1,0,0,0,2,1,0,NA,0,1,1,0,0,1,"resources, state and local political differences"
7,LA,22,1,0,1,1,1,1,0,NA,0,0,1,0,0,1,"resources, rural vs. urban divides (politics)"
8,ME,23,1,0,1,1,2,1,1,15,1,0,2,17,1,3,local political differences
9,MD,24,1,0,0,0,2,0,0,NA,0,1,3,13,1,2,"resources, and political divides, perceived risk differences"
10,MA,25,1,1,1,0,0,1,0,NA,1,0,2,10,1,2,"resources, public perceptions, political patisanship, lack of planning horizon"
11,MS,28,1,0,1,0,2,1,0,NA,0,1,1,0,0,1,"resources, resident perceptions conflicting with public officials"
12,NH,33,1,0,1,0,2,1,0,NA,0,1,2,12,1,2,none identified directly
13,NJ,34,1,0,1,1,2,0,0,NA,0,1,1,0,1,1,resources and partisanship
14,NY,36,1,1,1,0,2,1,0,2,0,1,2,11,1,3,"politics, local decision-making favored"
15,NC,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics
16,OR,41,1,0,1,0,1,1,0,NA,0,0,1,11,1,1,conflicting and partisan perceptions of need/economic development
17,RI,44,1,1,1,0,2,1,1,7,0,1,2,3,1,3,resources
18,SC,45,1,1,0,1,2,1,0,NA,0,1,1,0,0,1,differences between property owners and governance priorities
19,TX,48,1,0,1,0,1,1,0,NA,1,0,1,0,1,1,"politics, state industry economic influences"
20,VA,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions"
21,WA,53,1,0,0,0,1,0,0,NA,0,0,1,9,1,1,"local resources, liability fears "
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
